投稿日,画像ファイル,X本文,Threads本文,ステータス
2026-09-14,images/23-3.jpg,"「急いで決めなきゃ」と焦ってしまう。

急いで一人で決めなくて、大丈夫。","「親の相続で大きなお金が動いて、どう考えたらいいか戸惑っていて…」

大きな金額を前にすると「急いで決めなきゃ」と焦ってしまうもの。

でも、急いで一人で決めなくて大丈夫です。

まず整理して、必要なら専門家にも聞く。

手続き／家族の気持ち／相談先

知識を渡すだけじゃなく、安心して考えられる場を育てていきたい。

気づけば、紹介が紹介を生んでいました。",済
2026-09-15,images/24-1.jpg,"貯金はある。

でも…？

#3コマ漫画","貯金はある。

でも、これでいいのかな。

通帳を見ながら、時間だけが過ぎていく感じがしていました。

足りないのはお金じゃなくて、たぶん、確かめる方法。

同じところで止まっている人、いませんか？",済
2026-09-15,images/24-2.jpg,"何から学べばいいの？

スマホを開いて、閉じて、またため息。","何から学べばいいの？

スマホを開いて、情報の海に飛び込んで、結局そっと閉じる。

あの時間が、いちばんしんどかったです。

知らないことが多いんじゃなくて、順番が分からないだけだったんですけどね。

そのことに気づくまで、しばらくかかりました。",済
2026-09-15,images/24-3.jpg,"答えを探しに行こう。

ドアを開けたら、思ったより明るかった。","考えているだけの時間を、いったん終わりにしました。

答えを探しに行こう。

ドアノブに手をかけるまでが長かったけれど、開けてみたら、思っていたよりずっと明るかったです。

最初の一歩って、たぶん誰にとっても重いんだと思います。

でも、重いのは踏み出す前だけでした。",済
2026-09-16,images/25-1.jpg,"「お金持ちに学ぼう」

本の中ではなく、
実際に会いに行った。

#3コマ漫画","「お金持ちに学ぼう」

本や動画で探すのをやめて、実際に会いに行くことにしました。

向かい合って話すと、数字の話より先に、考え方や姿勢の話になるんですよね。

最後に握手をして、その日は終わりました。

遠回りに見えて、これがいちばん早かった気がしています。",済
2026-09-16,images/25-2.jpg,"まずは、真似してみる。

理解してからじゃなくていい。
やってから、分かることがある。","まずは、真似してみる。

完全に理解してから動こうとすると、たいてい動けないままなんですよね。

順番をそのままなぞって、やってみて、確かめる。

それを繰り返しているうちに、少しずつ「なぜそうするのか」が分かってきました。

理解が先か、行動が先か。私は行動が先でよかったです。",済
2026-09-16,images/25-3.jpg,"教わって、真似して、確かめて。

最後は、自分で決める。","教わって、真似して、確かめて。

そのあとに残るのは、結局「自分で決める」という一点でした。

誰かに決めてもらったことは、うまくいっても不安が残るし、うまくいかなければ人のせいにしたくなる。

目を開けて、深呼吸して、決める。

それができるようになったことが、いちばんの変化かもしれません。",済
2026-09-17,images/26-1.jpg,"増やす前に、
減らない仕組みを。

#3コマ漫画","増やす方法より先に、減らない仕組み。

ずっとそう教わってきました。

派手さはないし、誰かに自慢できる話でもないんですけど、これがあるだけで夜よく眠れます。

土台って、そういうものなんだと思います。",済
2026-09-17,images/26-2.jpg,"貯める。守る。

そして、使い方も学ぶ。","貯めること、守ることばかり考えていた時期がありました。

でも最近は「使い方」も同じくらい大事だと思っています。

何のために貯めたのか。誰のために使うのか。

そこが決まっていないと、いくらあっても足りない気がしてしまうんですよね。

あなたは何のために貯めていますか？",済
2026-09-17,images/26-3.jpg,"何を持つかではなく、
どう在るかで選ぶ。","長いお話に、最後までお付き合いいただきありがとうございました。

何を持っているかではなく、どう在るかで選ぶ。

友達と話すとき、家族と過ごすとき、これからの道を決めるとき。

結局そこに戻ってくるんだと思います。

ここまで読んでくださった方に、いいことがありますように。",済
2026-09-22,images/page-01.jpg,"お金を増やす方法は、働くことだけ？

その考え方、
誰かに教わった？

#漫画 #お金の話","今日から新しいお話を始めます。

「お金を増やす方法は、働くことだけ」

ずっとそう思っていました。朝起きて、働いて、疲れて寝る。それ以外の方法なんて、考えたこともなかったんです。

でもある日ふと思いました。この考え方、いったい誰に教わったんだろう？って。

あなたは、どう思っていましたか？",済
2026-09-23,images/page-02.jpg,"働いてお金をもらう。
それしか習ってない。

今思えば、完全に""労働脳""だった。","学校で習ったのは「働いてお金をもらう」ことだけでした。

だから、もっと稼ぐにはもっと働くしかない。本気でそう思っていたんです。

お給料日にホッとして、気づけば月末。その繰り返し。

今思えば、完全に""労働脳""でした。

お金のこと、学校で教わった記憶ありますか？",済
2026-09-24,images/page-03.jpg,"「お金にも働いてもらえばいいんだよ」

最初は、正直怪しいと思った。

でもその日から、世界の見え方が変わった。","友達がふと言ったんです。「お金にも働いてもらえばいいんだよ」って。

正直、最初は「何それ、怪しい…」でした（笑）

でもその日から、本屋さんでもスマホでもカフェでも、お金の話ばかり目に入るように。

カラーバス効果っていうんだそうです。情報は前からそこにあった。私が見ていなかっただけでした。",済
2026-09-25,images/page-04.jpg,"株？不動産？仮想通貨？FX？

調べるほど分からなくなって、
深夜2時半にスマホを握りしめてた。","調べ始めたら、今度は情報が多すぎました。

株がいい。いや不動産だ。これからは仮想通貨。FXで月100万。積立こそ最強。

言っていることがみんなバラバラで、調べるほど分からなくなって。

夜中の2時半、スマホを握りしめて「結局、何が正解なの？」ってつぶやいていました。

同じ夜、過ごしたことありませんか？",済
2026-09-26,images/page-05.jpg,"「絶対儲かる」に飛びついた。

上がって欲張って、下がって怖くなって売った。

−120,000円。
これが私のスタートです。","そして焦った私は、やってしまいます。

「今すぐ始めないと乗り遅れる」と思い込んで、SNSで見た""絶対儲かる""話に飛びつきました。

上がったら欲張って、下がったら怖くなって売って。

画面に出た「−120,000円」。

「やっぱり私には向いてない」って、布団の中で丸くなりました。

恥ずかしいけど、これが私のスタートです。",済
2026-09-27,images/page-06.jpg,"「急いでお金持ちになろうとする人ほど、お金が逃げていくんだよ」

資産家の女性に言われた言葉。
雷が落ちた。","そんなとき、紹介で出会ったのが、穏やかで上品な資産家の女性でした。

儲かる話はひとつもしない。代わりに言われたのがこの言葉です。

「増やすことより、減らさないことの方が大事だよ」
「急いでお金持ちになろうとする人ほど、お金が逃げていくんだよ」

雷が落ちたみたいでした。私がやっていたのは、まさに""急ぐ""ことだったから。",
2026-09-28,images/page-07.jpg,"労働脳：自分が働いて、お金を得る
投資脳：お金に働いてもらう
資産家脳：お金を守り、時間と人生を取り戻す

同じお金の話なのに、景色が違う。","その人たちを見ていて、やっと分かったことがあります。

労働脳は「自分が働いてお金を得る」。
投資脳は「お金に働いてもらう」。
資産家脳は「お金を守りながら、時間と人生を取り戻す」。

同じお金の話なのに、見ている景色がまるで違いました。

あなたは今、どの景色にいますか？",
2026-09-29,images/page-08.jpg,"寝ている間も、旅行中も、
子どもと遊ぶ間も。

知っている人と知らない人で、
10年後、20年後が変わってくる。","短期の欲を追うと、判断を誤りやすい。
焦らず、長い目で見る。

寝ている間も、旅行中も、子どもと遊んでいる間も、お金が動いてくれる仕組みが世の中にはあるそうです。

知っている人と知らない人で、10年後、20年後がじわじわ変わってくる。

時間を味方につけよう、と思いました。",
2026-09-30,images/page-09.jpg,"焦らなくていい。
全部わからなくていい。

大事なのは、誰から学ぶか。
そして、知ろうとし続けること。","遠回りしたし、たくさん失敗もしました。

でも、だからこそ言えることがあります。

焦らなくていい。全部わからなくていい。

大事なのは「誰から学ぶか」と「知ろうとし続けるか」だけ。

今日より明日、少しだけ視野を広げてみる。それだけでいいんだと思います。",
2026-10-01,images/page-10.jpg,"派手に儲かった話だけでは、判断できない。

長期の実績、リスク管理、誠実さ、再現性。

誰から学ぶかで、結果は変わる。","誰から学ぶかで、結果は変わる。

高級車、腕時計、シャンパン。SNSには派手に儲かった話があふれています。でも、それだけでは判断できません。

私が教わったのは、資産額だけを見るのではなく、長い実績、リスクの管理、誠実さ、再現性まで確かめること。

あなたは、誰から学んでいますか？",
2026-10-02,images/page-11.jpg,"「月利◯◯%」
ありえない数字で勧誘してくるものに、お金を入れない。

買う前に、準備することがある。","「すぐに買う前に、準備することがあるんだ」

資産家の女性に最初に言われたのは、意外にも地味なことでした。

まず、自分のお金の流れを知る。毎月いくら入って、いくら出ているか。
次に、目的と期間を決める。

そして「月利◯◯%」のような、ありえない数字で勧誘してくるものには、お金を入れない。

ここ、本当に大事です。",
2026-10-03,images/page-12.jpg,"成功は、一発逆転ではなく、
続けられる仕組みから生まれる。

今日やることは、家計を確認すること。","成功は、一発逆転ではなく、続けられる仕組みから生まれる。

だから今日やることは、ひとつだけ。家計を確認すること。

信頼できる人から学んで、小さく始めて、記録して、見直す。春も夏も秋も冬も、それを続けるだけ。

地味だけど、これがいちばん効くと思っています。

あなたの「続いていること」、何ですか？",
2026-10-04,images/page-13.jpg,"家計は、責めずに見える化する。

分からないままが、
一番不安を大きくする。","家計を見直すとき、最初に決めたことがあります。

「責めない」こと。

毎月いくら入って、いくら出ているか。固定費、変動費、臨時の支出に分けて書き出すだけ。

分からないままが、いちばん不安を大きくするんですよね。

見えるようになると、次にやることが自然と分かりました。",
2026-10-05,images/page-14.jpg,"見直すなら、まず固定費から。

全部削るのではなく、
満足度の低い支出から。","見直すなら、まず固定費から。

一度決めると、毎月勝手に出ていくお金だからです。通信費、サブスク、保険、住居費。

ただ、全部を削るのではなく、満足度の低いものから。安くする前に、必要な保障や条件はちゃんと確認して。

そして浮いたお金は、安心のために先取りする。

使っていないサブスク、ありませんか？",
2026-10-06,images/page-15.jpg,"増やす前に、生活を守る。

生活防衛資金は、
もしものためのクッション。","投資の前に、まず守るお金を作る。

病気、失業、急な修理、家族の事情。「もしも」のためのクッションが、生活防衛資金です。

一般的には、生活費の3〜6か月分がひとつの目安。収入が不安定なら、もっと長めに考えることもあります。

増やす前に、生活を守る。

これがあるだけで、心の余裕がまったく違いました。",
2026-10-07,images/page-16.jpg,"投資の第一歩は、買うことではない。

どんな人たちと、
どんな考え方を学ぶか。","一人で情報を追い続けると、また迷ってしまう。

「今が買い！」「絶対に上がる！」「これを買えば間違いない！」

スマホの中は、相変わらずにぎやかです。

でも投資の第一歩は、買うことではありませんでした。どんな人たちと、どんな考え方を学ぶのか。環境を選ぶことだったんです。

あなたは誰と、お金の話をしていますか？",
2026-10-08,images/page-17.jpg,"この人は、儲かる商品ではなく、
判断の仕方を教えてくれている。

一度聞いて終わりではなく、
続けて学ぶことが大切なんだ。","「資産を築くには、知識だけでなく習慣が必要です」

まず、生活を守る。
次に、分かるものだけを選ぶ。
短期の値動きより、長期の仕組みを見る。
人の言葉を信じる前に、自分で確認する。

聞きながら気づきました。この人は、儲かる商品ではなく、判断の仕方を教えてくれているんだ、と。",
2026-10-09,images/page-18.jpg,"良い環境は、答えをくれる場所ではない。

自分で考え、続ける力を育てる場所だ。","いい環境に身を置けば、それで成功するわけではありません。

仲間と学びながらも、最後は自分で判断する。
小さく行動して、記録する。
短期の値動きに一喜一憂しない。

良い環境は、答えをくれる場所ではなくて、自分で考え続ける力を育てる場所なんだと思います。",
2026-10-10,images/page-19.jpg,"最初の目標は、大きく増やすことじゃない。

仕組みを理解し、
続けられる一歩を選ぶこと。","学んだら、次は小さく行動してみる。

でも、生活を削ってまで始めない。

目的、期間、無理のない金額。それを先に決めてから。分からないことは、確認してから動く。

最初の目標は、大きく増やすことじゃありません。

仕組みを理解して、続けられる一歩を選ぶこと。",
2026-10-11,images/page-20.jpg,"不安だからといって、
すぐに行動しなくていい。

記録は、未来の自分を落ち着かせる材料になる。","値動きを見て、不安になる日があります。

でも、不安だからといって、すぐに行動しなくていい。

そんな日は、ノートを開いて、始めた理由と考えている期間を読み返します。

日付、目的、判断した理由、感じたこと。感情と事実を分けて書いておく。

記録は、未来の自分を落ち着かせる材料になるんです。",
2026-10-12,images/page-21.jpg,"投資は、感情を無視することではない。

感情に気づき、
考えて行動できる自分を作ること。","記録を続けていると、自分の感情のクセが見えてきます。

焦ったときほど、いったん立ち止まる。分からないときは、調べる。質問する。

運用のプロになることが目標ではありません。

投資は、感情を無視することではなくて、感情に気づいて、考えて行動できる自分を作ること。

あなたの「焦りのクセ」、どんなときに出ますか？",
2026-10-13,images/page-22.jpg,"あれから1年。

本当に変わったのは、
数字ではなく、私の行動だった。","あれから、1年。

資産額だけを見れば、毎月上がったり下がったりしています。

でも本当に変わったのは、私の行動でした。

家計を確認する。学ぶ。記録する。振り返る。

お金との向き合い方が少しずつ変わっていって、今は昔の自分とは違う安心感があります。",
2026-10-14,images/page-23.jpg,"良い学びは、
誰かを焦らせるのではなく、
考えるきっかけを渡す。","今度は私が、話を聞いてもらう側から、話す側になりました。

「私がやったことを、そのまま真似しなくて大丈夫」
「焦って始めなくてもいいよ」
「分からないことは、一緒に調べよう」

良い学びは、誰かを焦らせるのではなく、考えるきっかけを渡すものだと思っています。",
2026-10-15,images/page-24.jpg,"お金に追われる人生から、
人生のためにお金を考える毎日へ。","お金を増やすことだけが、目的じゃなかったんです。

お金を守って、時間の使い方を選べるようになること。

完璧じゃなくても、昨日より少し前に進めばいい。

お金に追われる人生から、人生のためにお金を考える毎日へ。

あなたにとって、お金は何のためのものですか？",
2026-10-16,images/page-25.jpg,"続けているのに、これでいいのかな？

迷うこと自体は、悪いことじゃない。","続けているのに、「これでいいのかな？」と思う日があります。

SNSを開けば、周りはもっと増やしているように見える。値動きがあると、やっぱり不安になる。

でも、迷うこと自体は悪いことじゃありません。

そんな日は、何に不安を感じているのかを、まず書き出してみることにしています。",
2026-10-17,images/page-26.jpg,"感情が強いときは、すぐに決めない。

立ち止まることも、
資産を守る行動なんだ。","不安の正体を、分けて考えてみる。

家計の問題？ 目的の問題？ 期間の問題？
それとも、情報を見すぎて焦っているだけ？

分けてみると、意外と「感情」だったりします。

感情が強いときは、すぐに決めない。

立ち止まることも、資産を守る立派な行動なんです。",
2026-10-18,images/page-27.jpg,"不安がなくなるのを、待たなくていい。

不安と向き合う力も、
資産形成の一部なんだ。","不安がなくなるのを、待たなくていい。

不安に気づいて、考えて、行動を選べばいいんです。

計画は、生活に合わせて見直していい。続けることは、無理をすることじゃない。

迷いながらでも、前に進める。

不安と向き合う力も、資産形成の一部なんだと思います。",
2026-10-19,images/page-28.jpg,"お金の話は、
いきなり金額から始めなくていい。

まず、将来どう暮らしたいかを話そう。","家族や仲間とお金の話をするとき、いきなり金額から始めなくていいんです。

まずは、将来どう暮らしたいか。

何を大切にしたい？
いつ、どんなことにお金を使いたい？

目標を共有すると、不思議と協力しやすくなります。

ご家庭で、お金の話ってしますか？",
2026-10-20,images/page-29.jpg,"目標を、時間軸で分けてみる。

全部を同時に叶えなくていい。
大切な順番を、一緒に決めよう。","目標を、時間軸で分けてみる。

近い目標は、緊急時の備えや、学び、生活の見直し。
数年後は、スキルアップや旅行、習い事。
将来は、家族との時間や安定した暮らし、やりたいことへの挑戦。

全部を同時に叶えなくていい。

大切な順番を、一緒に決めていけばいいんです。",
2026-10-21,images/page-30.jpg,"一人で抱えないと、続けやすくなる。

同じ未来を見ながら、
それぞれのペースで進んでいこう。","目標を共有するのは、答えを押しつけるためじゃありません。

今の状況と、次の一歩を確認するため。

意見が違っても、お互いの目標を確認する。一人で抱えないと、続けやすくなるんです。

お金の目標は、人生の目標と一緒に考える。

同じ未来を見ながら、それぞれのペースで進んでいけたらと思います。",
2026-10-22,images/page-31.jpg,"1日は24時間。
体はひとつしかない。

労働の限界に気づくことは、
働くことを否定することじゃない。","働くことは、大切な収入と経験を生んでくれます。

でも、使える時間には限界がある。1日は24時間。体はひとつしかありません。

働く時間を増やし続けるだけでは、いつか限界が来る。

労働の限界に気づくことは、働くことを否定することじゃないんです。

別の仕組みを知る、というだけのこと。",
2026-10-23,images/page-32.jpg,"お金に働いてもらう、というのは魔法じゃない。

まず守る。
仕組みとリスクを理解する。
長い時間を味方にする。","「お金に働いてもらう」というのは、魔法じゃありません。

お金を、目的に合わせた仕組みの中で働かせる考え方です。

まず、生活を守る。
次に、仕組みとリスクを理解する。
そして、長い時間を味方にする。

貯めるだけでも、増やすだけでもない。守りながら、学びながら、活用していく。そういうことなんだと思います。",
2026-10-24,images/page-33.jpg,"働くことと、お金に働いてもらうことは、
敵同士じゃない。

稼ぐ力、守る力、活用する力。","働くことと、お金に働いてもらうことは、敵同士じゃありません。

働いて得たお金を、守って、学んで、将来のために活用する。

自分の時間と体力だけに、すべてを背負わせない。

これからは、稼ぐ力、守る力、活用する力。その3つがそろうと、人生の選択肢がぐっと増える気がします。",
2026-10-25,images/page-34.jpg,"「今だけ！」「絶対に儲かる！」

目先の欲は、判断を急がせる。

まず、守るべきお金を確認しよう。","「今だけ！」「絶対に儲かる！」

周りが一斉に動き出すと、今すぐ乗らないと置いていかれる気がしてきます。

でも、目先の欲は判断を急がせる。

増やしたい気持ちだけで、決めていいの？

そんなときは、まず守るべきお金を確認します。生活防衛資金、目的、期間。よく分からないままとるリスクは、お金を減らすことにつながるからです。",
2026-10-26,images/page-35.jpg,"大きく減らさないことも、
立派な前進。

守る土台があるから、育てていける。","資産形成は、増やすことだけじゃありません。

まず、生活を守る。
次に、リスクを理解する。
無理のない範囲で、長期の計画を作る。

大きく減らさないことも、立派な前進です。

守る土台があるから、育てていける。",
2026-10-27,images/page-36.jpg,"目先の欲より、
長く続けられる安心を選ぶ。

焦らなくていい。
減らさない力が、未来を支える。","急いで増やそうとしない。

守る、学ぶ、続ける。

時間を味方にして、少しずつ育てる。目先の欲より、長く続けられる安心を選ぶ。

しっかり守りながら育てる。それが、長期目線の資産形成なんだと思います。

焦らなくていい。減らさない力が、未来を支えてくれます。",
2026-10-28,images/page-37.jpg,"複利は、利益保証ではない。

長期で考えるための、
ものの見方なんだ。","「複利って、どういうこと？」

生まれた成果を、さらに次の成長につなげること。雪玉が転がりながら大きくなるイメージです。

時間が長いほど、積み重ねの差は大きくなる。

でも、毎年同じ結果になるとは限りません。

複利は利益の保証ではなく、長期で考えるための「見方」なんだと教わりました。",
2026-10-29,images/page-38.jpg,"長期投資は、一直線に増える道じゃない。

下がったからといって、
すぐに結論を出さない。","長期投資は、一直線に増える道じゃありません。

上がる時も、下がる時もある。

下がったからといって、すぐに結論を出さない。目的と期間を、立ち止まって確認する。

時間を味方につけるには、続けられる仕組みが必要なんです。

だから、続けられる金額と方法を選ぶ。",
2026-10-30,images/page-39.jpg,"長期投資は、未来を確実にする魔法じゃない。

それでも、時間を味方につける力は、
今日から育てられる。","複利の力は、時間と継続で育っていく。

あの頃の私は、画面にかじりついていました。今は、小さく始めて、無理なく続けています。

長期投資は、未来を確実にする魔法じゃありません。

それでも、時間を味方につける力は、今日から育てられる。

焦らず、守りながら、長い目で積み重ねていこうと思います。",
2026-10-31,images/page-40.jpg,"知る。守る。学ぶ。続ける。

資産形成は、
増やすことだけじゃなかった。","資産形成は、増やすことだけじゃなかった。

知る。家計を知る。
守る。生活を守る。
学ぶ。学び、記録し、見直す。
続ける。焦らず、長期で考える。

あの頃の私に教えてあげたいのは、この4つだけです。

守りながら、少しずつ育てる。",
2026-11-01,images/page-41.jpg,"今日やること。

家計を確認する。
守るお金の目標を決める。
分からないことを、ひとつ調べる。","今日やること。

・家計を確認する
・守るお金の目標を決める
・信頼できる人から学ぶ時間を作る
・分からないことを、ひとつ調べる
・小さく始めて、記録する

どれも、今日からできることばかりです。

あなたなら、どれから始めますか？",
2026-11-02,images/page-42.jpg,"未来は、一度の大きな決断で
変わるわけじゃない。

今日の小さな選択が、
明日の自分を作っていく。","長いお話に、最後までお付き合いいただきありがとうございました。

疲れていた私。学び始めた私。家計を整えた私。家族や仲間と未来を話す私。

未来は、一度の大きな決断で変わるわけじゃない。今日の小さな選択が、明日の自分を作っていく。

完璧じゃなくていい。焦らなくていい。

ここからが、未来への第一歩です。",
